estado,municipio,parroquia,old_centro,new_centro,address
62,CARABOBO,NAGUANAGUA,NAGUANAGUA,UNIDAD EDUCATIVA NACIONAL MANUEL ANTONIO MALPICA,ESCUELA MARIA TERESA CORONEL,SECTOR TARAPIO DERECHA AVENIDA MONSENOR LUCIO 190. FRENTE AVENIDA LOS ROSALES. IZQUIERDA  CALLE LOS MANGOS 189 DIAGONAL AL ANCIANATO SAN MARTIN DE PORRES EDIFICIO
63,CARABOBO,SAN DIEGO,URB SAN DIEGO,UNIDAD EDUCATIVA PRIVADO VIRGEN DE COROMOTO,INSTITUTO UNIVERSITARIO DE TECNOLOGIA DE SEGURIDAD INDUSTRIAL,SECTOR LOS HARALES AVENIDA DON JULIO CENTENO FRENTE AVENIDA DON JULIO CENTENO. DERECHA  VEREDA LOS ARALES 2. IZQUIERDA VEREDA LOS ARALES 1 FRENTE AL CENTRO COMERCIAL METROPLAZA EDIFICIO
64,CARABOBO,SAN DIEGO,URB SAN DIEGO,UNIDAD EDUCATIVA ESTADAL SANTIAGO MARIÑO,UNIDAD EDUCATIVA LOS MAGALLANES,URBANIZACIÓN POPULAR LOS MAGALLANES CALLE PALMIRA DERECHA  CALLE VALENCEY. FRENTE CALLE PALMIRA. IZQUIERDA CALLEJÓN 23 DE ENERO CANCHA DE LA COMUNIDAD LOS MAGALLANES EDIFICIO
65,CARABOBO,SAN DIEGO,URB SAN DIEGO,UNIDAD EDUCATIVA CREACION SAN DIEGO NORTE,ESCUELA BASICA BOLIVARIANA LA LUZ (NUCLEO ESCOLAR RURAL 49),SECTOR LA CUMACA LA LUZ CALLE LAS TERRAZAS IZQUIERDA  AVENIDA CARRETERA VIEJA NACIONAL SAN DIEGO YAGUA.  FRENTE CALLE LAS TERRAZAS. DERECHA VEREDA CASA DE FAMILIA 50 METROS DEL TUNEL LA LUZ CASA
66,CARABOBO,SAN DIEGO,URB SAN DIEGO,ESCUELA BASICA NACIONALCLORINDA AZCUÑES,UNIDAD EDUCATIVA NACIONAL CAMPO SOLO,SECTOR AVENIDA PRINCIPAL CAMPO SOLO CRUCE CON PRIMERA TRANSVERSAL CAMPO SOLO FRENTE AVENIDA PRINCIPAL CAMPO SOLO. DERECHA TRANSVERSAL CASA DE FAMILIA. IZQUIERDA VEREDA CASA DE FAMILIA 100 METROS DEL GEDIATRICO  MI REFUGIO CASA
67,COJEDES,RICAURTE,LIBERTAD DE COJEDES,ESCUELA CONCENTRADA NUMERO 15-35-89-156,LICEO ANTONIO LOZANO RICAURTE,"CASERÍO CAÑO HONDO  DERECHA CALLE MONARCA.  IZQUIERDA  CALLE CIRCUNVALACION. FRENTE CARRETERA NACIONAL VIA LAGUINITA AL DE LA ESCUELA CONCENTRADA NUMERO 15-35-89-
156"
68,COJEDES,EZEQUIEL ZAMORA,SAN CARLOS DE AUSTRIA,CENTRO DE EDUCACIÒN INICIAL EL PAUJIL,CENTRO DE EDUCACION INICIAL MARIA CASILDA FLORES,"CALLE PAEZ, ENTRE  CALLES SILVA Y MANRIQUE , FRENTE A LA PLAZA BOLIVAR, SECTOR CENTRO"
69,COJEDES,ROMULO GALLEGOS,ROMULO GALLEGOS,"ESCUELA  BASICA
NACIONAL  ESTEFANA GONZALEZ","ALDEA BOLIVARIANA
MARINA BETANCOURT","AV. UNIVERSIDAD, SECTOR LOS COCOS, FRENTE AL URBANISMO  JOSE FELIX RIBAS"
70,FALCON,CARIRUBANA,NORTE,SALON DE USOS MULTIPLES INGENIERO CARLOS MILANO,ESCUELA BÁSICA ANTIGUO AEROPUERTO,"URBANIZACIÓN ANTIGUO AEROPUERTO DERECHA CALLE NUMERO  14. IZQUIERDA  CALLE NUMERO 11.
FRENTE CALLE NUMERO  22 SECTOR 2 CASA"
71,FALCON,DEMOCRACIA,AVARIA,ESCUELA BASICA TUPURE,ESCUELA BASICA ESTADAL  LA CAMPANA,CASERÍO LA CAMPANA DERECHA SENDERO TERRENO BALDIO. IZQUIERDA SENDERO TERRENO ENMONTADO. FRENTE PICA PRINCIPAL SECTOR LA ESCUELA CASA
